Price,Units Sold,Location,Product Score,Store Score,Price Cat,Product Score Cat,Store Score Cat
149000,1000,JAWA BARAT,4590,18500.0,High,Low,Medium
8998,10000,JAWA BARAT,6892,50470.00000000001,Low-Medium,Low,High
10000,7000,JAWA BARAT,4792,138670.0,Low-Medium,Low,High
39900,4000,DKI JAKARTA,4800,222460.00000000003,High,Low,High
14920,6000,JAWA BARAT,4796,109270.00000000001,Medium,Low,High
8399,9000,JAWA TIMUR,6540,123970.00000000001,Low,Low,High
11920,7000,JAWA BARAT,4900,219030.00000000003,Low-Medium,Low,High
20000,5000,JAWA BARAT,4330,92000.0,Medium,Low,High
6500,10000,JAWA BARAT,6628,74480.0,Low,Low,High
25560,4000,DKI JAKARTA,4736,235200.00000000003,High,Low,High
13857,4000,JAWA BARAT,4924,19110.0,Medium,Low,Medium
9830,10000,JAWA BARAT,4888,80850.0,Low-Medium,Low,High
38172,10000,JAWA BARAT,6936,5280.0,High,Low,Low
4900,10000,JAWA TENGAH,7956,154160.0,Low,Low,High
5954,10000,JAWA BARAT,10332,350400.0,Low,Low-Medium,High
105000,1000,JAWA BARAT,4672,118580.00000000001,High,Low,High
11499,8000,JAWA BARAT,7564,175910.0,Low-Medium,Low,High
24999,6000,JAWA BARAT,7076,73790.0,High,Low,High
5000,6000,DKI JAKARTA,4516,3122770.0,Low,Low,High
16000,5000,DKI JAKARTA,4556,3122770.0,Medium,Low,High
7998,8000,BANTEN,5424,24500.0,Low,Low,High
9400,6000,DKI JAKARTA,4648,2047220.0000000002,Low-Medium,Low,High
10000,6000,JAWA BARAT,4548,138670.0,Low-Medium,Low,High
25900,4000,DKI JAKARTA,4684,648270.0,High,Low,High
12400,6000,DKI JAKARTA,4360,2047220.0000000002,Low-Medium,Low,High
10000,10000,DKI JAKARTA,5328,3111.5,Low-Medium,Low,Low
18899,5000,JAWA BARAT,4640,120050.00000000001,Medium,Low,High
13400,5000,DKI JAKARTA,4448,3122770.0,Medium,Low,High
19777,4000,JAWA BARAT,4240,556800.0,Medium,Low,High
10400,6000,DKI JAKARTA,4304,2047220.0000000002,Low-Medium,Low,High
17899,5000,JAWA BARAT,4400,109270.00000000001,Medium,Low,High
14400,5000,DKI JAKARTA,4428,2047220.0000000002,Medium,Low,High
9700,10000,JAWA BARAT,6188,1117.2,Low-Medium,Low,Low
10499,50000,DKI JAKARTA,47228,648270.0,Low-Medium,High,High
10400,50000,DKI JAKARTA,36088,2047220.0000000002,Low-Medium,High,High
579000,50,BANTEN,120,11500.0,High,Low,Low-Medium
5500,10000,DKI JAKARTA,14276,3122770.0,Low,Medium,High
85000,28,DKI JAKARTA,35,170000.0,High,Low,High
216000,1000,DKI JAKARTA,4050,15680.000000000002,High,Low,Medium
89700,1000,JAWA BARAT,4420,204330.00000000003,High,Low,High
8998,7000,JAWA BARAT,7112,50470.00000000001,Low-Medium,Low,High
7900,5000,DKI JAKARTA,4152,2047220.0000000002,Low,Low,High
100000,1000,JAWA BARAT,4496,11760.0,High,Low,Low-Medium
11500,5000,DKI JAKARTA,4180,207360.0,Low-Medium,Low,High
29900,2000,DKI JAKARTA,4105,222460.00000000003,High,Low,High
15500,5000,DKI JAKARTA,4192,648270.0,Medium,Low,High
48250,6000,JAWA BARAT,7188,4800.0,High,Low,Low
69900,4000,DKI JAKARTA,4216,222460.00000000003,High,Low,High
25499,2000,DKI JAKARTA,3970,263620.0,High,Low,High
18321,5000,JAWA BARAT,9720,350400.0,Medium,Low-Medium,High
7400,5000,DKI JAKARTA,4124,2047220.0000000002,Low,Low,High
10799,10000,JAWA BARAT,4584,19110.0,Low-Medium,Low,Medium
15246,4000,DKI JAKARTA,4340,3122770.0,Medium,Low,High
8500,4000,JAWA BARAT,4456,69580.0,Low,Low,High
8835,10000,JAWA BARAT,8672,109040.0,Low,Low,High
5000,10000,JAWA TIMUR,12732,15510.0,Low,Low-Medium,Medium
8500,6000,JAWA BARAT,4556,74480.0,Low,Low,High
9306,6000,DKI JAKARTA,4312,3122770.0,Low-Medium,Low,High
15000,3000,DKI JAKARTA,4112,2047220.0000000002,Medium,Low,High
8500,6000,DKI JAKARTA,4360,210210.00000000003,Low,Low,High
18750,6000,JAWA BARAT,7260,350400.0,Medium,Low,High
27900,3000,DKI JAKARTA,4012,222460.00000000003,High,Low,High
11500,7000,DKI JAKARTA,8548,67200.0,Low-Medium,Low,High
37999,4000,BANTEN,6504,76930.0,High,Low,High
8450,7000,JAWA BARAT,4412,1367.1000000000001,Low,Low,Low
10000,6000,DKI JAKARTA,4064,3122770.0,Low-Medium,Low,High
9399,3000,JAWA BARAT,3780,90160.0,Low-Medium,Low,High
19800,3000,JAWA TENGAH,4484,5390000.0,Medium,Low,High
29500,4000,DKI JAKARTA,4036,158265.1,High,Low,High
125000,1000,JAWA BARAT,4292,118580.00000000001,High,Low,High
8499,10000,JAWA BARAT,6928,74480.0,Low,Low,High
8999,8000,JAWA BARAT,4328,104370.00000000001,Low-Medium,Low,High
8500,4000,JAWA BARAT,4044,69580.0,Low,Low,High
105000,1000,JAWA BARAT,4120,118580.00000000001,High,Low,High
29650,1000,JAWA BARAT,4324,6860.000000000001,High,Low,Low
