Price,Location,Rating,Review,Units Sold,Product Rating Score,Store Rating,Store Review
Rp12.900,Kab. Sukoharjo,3069 rating • 1345 ulasan,3069 rating • 1345 ulasan,Terjual 10 rb+,4.8,4.8,"(7,6 rb)"
Rp9.999,Kota Surabaya,2199 rating • 497 ulasan,2199 rating • 497 ulasan,Terjual 10 rb+,4.9,4.9,(7 rb)
Rp89.700,Kota Sukabumi,2190 rating • 556 ulasan,2190 rating • 556 ulasan,Terjual 3 rb+,4.9,4.9,"(41,7 rb)"
Rp8.888,Kota Depok,2984 rating • 582 ulasan,2984 rating • 582 ulasan,Terjual 10 rb+,4.8,4.8,"(3,5 jt)"
Rp8.999,Kota Bandung,2147 rating • 699 ulasan,2147 rating • 699 ulasan,Terjual 10 rb+,4.9,4.9,"(21,3 rb)"
Rp45.400,Kota Administrasi Jakarta Timur,2977 rating • 1204 ulasan,2977 rating • 1204 ulasan,Terjual 10 rb+,4.8,4.8,"(1,3 rb)"
Rp8.399,Kota Blitar,2087 rating • 1550 ulasan,2087 rating • 1550 ulasan,Terjual 10 rb+,4.9,4.9,"(25,3 rb)"
Rp11.500,Kota Bandung,2064 rating • 844 ulasan,2064 rating • 844 ulasan,Terjual 10 rb+,4.9,4.9,"(14,5 rb)"
Rp9.399,Kota Bandung,2041 rating • 430 ulasan,2041 rating • 430 ulasan,Terjual 10 rb+,4.9,4.9,"(18,4 rb)"
Rp7.920,Kota Administrasi Jakarta Barat,2019 rating • 428 ulasan,2019 rating • 428 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
Rp28.999,Kota Administrasi Jakarta Timur,1475 rating • 316 ulasan,1475 rating • 316 ulasan,Terjual 4 rb+,5.0,4.9,(24 rb)
Rp30.000,Kota Administrasi Jakarta Barat,1976 rating • 456 ulasan,1976 rating • 456 ulasan,Terjual 9 rb+,4.9,4.8,"(139,3 rb)"
Rp22.900,Kota Administrasi Jakarta Utara,2729 rating • 962 ulasan,2729 rating • 962 ulasan,Terjual 10 rb+,4.8,4.7,(405)
Rp12.642,Kota Administrasi Jakarta Utara,2711 rating • 796 ulasan,2711 rating • 796 ulasan,Terjual 10 rb+,4.8,4.8,"(18,2 rb)"
